Afghanistan,Kabul,Afghani,29121286,2023-09-05 23:41:46.084833,/places/default/view/Afghanistan-1
Aland Islands,Mariehamn,Euro,26711,2023-09-05 23:41:46.166738,/places/default/view/Aland-Islands-2
Albania,Tirana,Lek,2986952,2023-09-05 23:41:46.266776,/places/default/view/Albania-3
Algeria,Algiers,Dinar,34586184,2023-09-05 23:41:46.347945,/places/default/view/Algeria-4
American Samoa,Pago Pago,Dollar,57881,2023-09-05 23:41:46.420201,/places/default/view/American-Samoa-5
Andorra,Andorra la Vella,Euro,84000,2023-09-05 23:41:46.500176,/places/default/view/Andorra-6
Angola,Luanda,Kwanza,13068161,2023-09-05 23:41:46.572323,/places/default/view/Angola-7
Anguilla,The Valley,Dollar,13254,2023-09-05 23:41:46.648051,/places/default/view/Anguilla-8
Antarctica,,,0,2023-09-05 23:42:03.577313,/places/default/view/Antarctica-9
Antigua and Barbuda,St. John's,Dollar,86754,2023-09-05 23:41:46.793326,/places/default/view/Antigua-and-Barbuda-10
Argentina,Buenos Aires,Peso,41343201,2023-09-05 23:41:46.867534,/places/default/view/Argentina-11
Armenia,Yerevan,Dram,2968000,2023-09-05 23:41:46.943775,/places/default/view/Armenia-12
Aruba,Oranjestad,Guilder,71566,2023-09-05 23:41:47.011785,/places/default/view/Aruba-13
Australia,Canberra,Dollar,21515754,2023-09-05 23:41:47.088579,/places/default/view/Australia-14
Austria,Vienna,Euro,8205000,2023-09-05 23:41:47.196068,/places/default/view/Austria-15
Azerbaijan,Baku,Manat,8303512,2023-09-05 23:41:47.273267,/places/default/view/Azerbaijan-16
Bahamas,Nassau,Dollar,301790,2023-09-05 23:41:47.346289,/places/default/view/Bahamas-17
Bahrain,Manama,Dinar,738004,2023-09-05 23:41:47.422613,/places/default/view/Bahrain-18
Bangladesh,Dhaka,Taka,156118464,2023-09-05 23:41:47.495868,/places/default/view/Bangladesh-19
Barbados,Bridgetown,Dollar,285653,2023-09-05 23:41:47.571542,/places/default/view/Barbados-20
Belarus,Minsk,Ruble,9685000,2023-09-05 23:41:47.651283,/places/default/view/Belarus-21
Belgium,Brussels,Euro,10403000,2023-09-05 23:41:47.728781,/places/default/view/Belgium-22
Belize,Belmopan,Dollar,314522,2023-09-05 23:41:47.802758,/places/default/view/Belize-23
Benin,Porto-Novo,Franc,9056010,2023-09-05 23:41:47.877996,/places/default/view/Benin-24
Bermuda,Hamilton,Dollar,65365,2023-09-05 23:41:47.952047,/places/default/view/Bermuda-25
Bhutan,Thimphu,Ngultrum,699847,2023-09-05 23:41:48.043433,/places/default/view/Bhutan-26
Bolivia,Sucre,Boliviano,9947418,2023-09-05 23:41:48.121349,/places/default/view/Bolivia-27
"Bonaire, Saint Eustatius and Saba",,Dollar,18012,2023-09-05 23:42:04.929312,/places/default/view/Bonaire-Saint-Eustatius-and-Saba-28
Bosnia and Herzegovina,Sarajevo,Marka,4590000,2023-09-05 23:41:48.268761,/places/default/view/Bosnia-and-Herzegovina-29
Botswana,Gaborone,Pula,2029307,2023-09-05 23:41:48.339695,/places/default/view/Botswana-30
Bouvet Island,,Krone,0,2023-09-05 23:42:05.092493,/places/default/view/Bouvet-Island-31
Brazil,Brasilia,Real,201103330,2023-09-05 23:41:48.529730,/places/default/view/Brazil-32
British Indian Ocean Territory,Diego Garcia,Dollar,4000,2023-09-05 23:41:48.666332,/places/default/view/British-Indian-Ocean-Territory-33
British Virgin Islands,Road Town,Dollar,21730,2023-09-05 23:41:48.748929,/places/default/view/British-Virgin-Islands-34
Brunei,Bandar Seri Begawan,Dollar,395027,2023-09-05 23:41:48.824009,/places/default/view/Brunei-35
Bulgaria,Sofia,Lev,7148785,2023-09-05 23:41:48.897298,/places/default/view/Bulgaria-36
Burkina Faso,Ouagadougou,Franc,16241811,2023-09-05 23:41:48.974580,/places/default/view/Burkina-Faso-37
Burundi,Bujumbura,Franc,9863117,2023-09-05 23:41:49.047029,/places/default/view/Burundi-38
Cambodia,Phnom Penh,Riels,14453680,2023-09-05 23:41:49.121350,/places/default/view/Cambodia-39
Cameroon,Yaounde,Franc,19294149,2023-09-05 23:41:49.191455,/places/default/view/Cameroon-40
Canada,Ottawa,Dollar,33679000,2023-09-05 23:41:49.267552,/places/default/view/Canada-41
Cape Verde,Praia,Escudo,508659,2023-09-05 23:41:49.338032,/places/default/view/Cape-Verde-42
Cayman Islands,George Town,Dollar,44270,2023-09-05 23:41:49.414424,/places/default/view/Cayman-Islands-43
Central African Republic,Bangui,Franc,4844927,2023-09-05 23:41:49.489845,/places/default/view/Central-African-Republic-44
Chad,N'Djamena,Franc,10543464,2023-09-05 23:41:49.567065,/places/default/view/Chad-45
Chile,Santiago,Peso,16746491,2023-09-05 23:41:49.642494,/places/default/view/Chile-46
China,Beijing,Yuan Renminbi,1330044000,2023-09-05 23:41:49.725325,/places/default/view/China-47
Christmas Island,Flying Fish Cove,Dollar,1500,2023-09-05 23:41:49.839788,/places/default/view/Christmas-Island-48
Cocos Islands,West Island,Dollar,628,2023-09-05 23:41:49.914118,/places/default/view/Cocos-Islands-49
Colombia,Bogota,Peso,44205293,2023-09-05 23:41:49.991487,/places/default/view/Colombia-50
Comoros,Moroni,Franc,773407,2023-09-05 23:41:50.065451,/places/default/view/Comoros-51
Cook Islands,Avarua,Dollar,21388,2023-09-05 23:41:50.145242,/places/default/view/Cook-Islands-52
Costa Rica,San Jose,Colon,4516220,2023-09-05 23:41:50.217646,/places/default/view/Costa-Rica-53
Croatia,Zagreb,Kuna,4491000,2023-09-05 23:41:50.296038,/places/default/view/Croatia-54
Cuba,Havana,Peso,11423000,2023-09-05 23:41:50.368971,/places/default/view/Cuba-55
Curacao,Willemstad,Guilder,141766,2023-09-05 23:41:50.442460,/places/default/view/Curacao-56
Cyprus,Nicosia,Euro,1102677,2023-09-05 23:41:50.515881,/places/default/view/Cyprus-57
Czech Republic,Prague,Koruna,10476000,2023-09-05 23:41:50.589636,/places/default/view/Czech-Republic-58
Democratic Republic of the Congo,Kinshasa,Franc,70916439,2023-09-05 23:41:50.663417,/places/default/view/Democratic-Republic-of-the-Congo-59
Denmark,Copenhagen,Krone,5484000,2023-09-05 23:41:50.739101,/places/default/view/Denmark-60
Djibouti,Djibouti,Franc,740528,2023-09-05 23:41:50.811907,/places/default/view/Djibouti-61
Dominica,Roseau,Dollar,72813,2023-09-05 23:41:50.889530,/places/default/view/Dominica-62
Dominican Republic,Santo Domingo,Peso,9823821,2023-09-05 23:41:50.965136,/places/default/view/Dominican-Republic-63
East Timor,Dili,Dollar,1154625,2023-09-05 23:41:51.070840,/places/default/view/East-Timor-64
Ecuador,Quito,Dollar,14790608,2023-09-05 23:41:51.189483,/places/default/view/Ecuador-65
Egypt,Cairo,Pound,80471869,2023-09-05 23:41:51.263702,/places/default/view/Egypt-66
El Salvador,San Salvador,Dollar,6052064,2023-09-05 23:41:51.337914,/places/default/view/El-Salvador-67
Equatorial Guinea,Malabo,Franc,1014999,2023-09-05 23:41:51.412997,/places/default/view/Equatorial-Guinea-68
Eritrea,Asmara,Nakfa,5792984,2023-09-05 23:41:51.487065,/places/default/view/Eritrea-69
Estonia,Tallinn,Euro,1291170,2023-09-05 23:41:51.563426,/places/default/view/Estonia-70
Ethiopia,Addis Ababa,Birr,88013491,2023-09-05 23:41:51.637079,/places/default/view/Ethiopia-71
Falkland Islands,Stanley,Pound,2638,2023-09-05 23:41:51.711385,/places/default/view/Falkland-Islands-72
Faroe Islands,Torshavn,Krone,48228,2023-09-05 23:41:51.792635,/places/default/view/Faroe-Islands-73
Fiji,Suva,Dollar,875983,2023-09-05 23:41:51.869453,/places/default/view/Fiji-74
Finland,Helsinki,Euro,5244000,2023-09-05 23:41:51.944537,/places/default/view/Finland-75
France,Paris,Euro,64768389,2023-09-05 23:41:52.024374,/places/default/view/France-76
French Guiana,Cayenne,Euro,195506,2023-09-05 23:41:52.097872,/places/default/view/French-Guiana-77
French Polynesia,Papeete,Franc,270485,2023-09-05 23:41:52.169429,/places/default/view/French-Polynesia-78
French Southern Territories,Port-aux-Francais,Euro,140,2023-09-05 23:41:52.242320,/places/default/view/French-Southern-Territories-79
Gabon,Libreville,Franc,1545255,2023-09-05 23:41:52.312371,/places/default/view/Gabon-80
Gambia,Banjul,Dalasi,1593256,2023-09-05 23:41:52.374846,/places/default/view/Gambia-81
Georgia,Tbilisi,Lari,4630000,2023-09-05 23:41:52.469202,/places/default/view/Georgia-82
Germany,Berlin,Euro,81802257,2023-09-05 23:41:52.534893,/places/default/view/Germany-83
Ghana,Accra,Cedi,24339838,2023-09-05 23:41:52.591345,/places/default/view/Ghana-84
Gibraltar,Gibraltar,Pound,27884,2023-09-05 23:41:52.650822,/places/default/view/Gibraltar-85
Greece,Athens,Euro,11000000,2023-09-05 23:41:52.708747,/places/default/view/Greece-86
Greenland,Nuuk,Krone,56375,2023-09-05 23:41:52.769659,/places/default/view/Greenland-87
Grenada,St. George's,Dollar,107818,2023-09-05 23:41:52.823264,/places/default/view/Grenada-88
Guadeloupe,Basse-Terre,Euro,443000,2023-09-05 23:41:52.878367,/places/default/view/Guadeloupe-89
Guam,Hagatna,Dollar,159358,2023-09-05 23:41:52.932487,/places/default/view/Guam-90
Guatemala,Guatemala City,Quetzal,13550440,2023-09-05 23:41:52.990299,/places/default/view/Guatemala-91
Guernsey,St Peter Port,Pound,65228,2023-09-05 23:41:53.046859,/places/default/view/Guernsey-92
Guinea,Conakry,Franc,10324025,2023-09-05 23:41:53.101156,/places/default/view/Guinea-93
Guinea-Bissau,Bissau,Franc,1565126,2023-09-05 23:41:53.157331,/places/default/view/Guinea-Bissau-94
Guyana,Georgetown,Dollar,748486,2023-09-05 23:41:53.213854,/places/default/view/Guyana-95
Haiti,Port-au-Prince,Gourde,9648924,2023-09-05 23:41:53.269430,/places/default/view/Haiti-96
Heard Island and McDonald Islands,,Dollar,0,2023-09-05 23:42:09.023589,/places/default/view/Heard-Island-and-McDonald-Islands-97
Honduras,Tegucigalpa,Lempira,7989415,2023-09-05 23:41:53.456713,/places/default/view/Honduras-98
Hong Kong,Hong Kong,Dollar,6898686,2023-09-05 23:41:53.510728,/places/default/view/Hong-Kong-99
Hungary,Budapest,Forint,9982000,2023-09-05 23:41:53.565019,/places/default/view/Hungary-100
Iceland,Reykjavik,Krona,308910,2023-09-05 23:41:53.623253,/places/default/view/Iceland-101
India,New Delhi,Rupee,1173108018,2023-09-05 23:41:53.677161,/places/default/view/India-102
Indonesia,Jakarta,Rupiah,242968342,2023-09-05 23:41:53.737241,/places/default/view/Indonesia-103
Iran,Tehran,Rial,76923300,2023-09-05 23:41:53.797590,/places/default/view/Iran-104
Iraq,Baghdad,Dinar,29671605,2023-09-05 23:41:53.855331,/places/default/view/Iraq-105
Ireland,Dublin,Euro,4622917,2023-09-05 23:41:53.949672,/places/default/view/Ireland-106
Isle of Man,"Douglas, Isle of Man",Pound,75049,2023-09-05 23:41:54.006171,/places/default/view/Isle-of-Man-107
Israel,Jerusalem,Shekel,7353985,2023-09-05 23:41:54.062525,/places/default/view/Israel-108
Italy,Rome,Euro,60340328,2023-09-05 23:41:54.119842,/places/default/view/Italy-109
Ivory Coast,Yamoussoukro,Franc,21058798,2023-09-05 23:41:54.178366,/places/default/view/Ivory-Coast-110
Jamaica,Kingston,Dollar,2847232,2023-09-05 23:41:54.233762,/places/default/view/Jamaica-111
Japan,Tokyo,Yen,127288000,2023-09-05 23:41:54.295257,/places/default/view/Japan-112
Jersey,Saint Helier,Pound,90812,2023-09-05 23:41:54.351554,/places/default/view/Jersey-113
Jordan,Amman,Dinar,6407085,2023-09-05 23:41:54.408401,/places/default/view/Jordan-114
Kazakhstan,Astana,Tenge,15340000,2023-09-05 23:41:54.503818,/places/default/view/Kazakhstan-115
Kenya,Nairobi,Shilling,40046566,2023-09-05 23:41:54.562348,/places/default/view/Kenya-116
Kiribati,Tarawa,Dollar,92533,2023-09-05 23:41:54.616679,/places/default/view/Kiribati-117
Kosovo,Pristina,Euro,1800000,2023-09-05 23:41:54.673650,/places/default/view/Kosovo-118
Kuwait,Kuwait City,Dinar,2789132,2023-09-05 23:41:54.726279,/places/default/view/Kuwait-119
Kyrgyzstan,Bishkek,Som,5508626,2023-09-05 23:41:54.781494,/places/default/view/Kyrgyzstan-120
Laos,Vientiane,Kip,6368162,2023-09-05 23:41:54.839907,/places/default/view/Laos-121
Latvia,Riga,Euro,2217969,2023-09-05 23:41:54.896179,/places/default/view/Latvia-122
Lebanon,Beirut,Pound,4125247,2023-09-05 23:41:54.951421,/places/default/view/Lebanon-123
Lesotho,Maseru,Loti,1919552,2023-09-05 23:41:55.007114,/places/default/view/Lesotho-124
Liberia,Monrovia,Dollar,3685076,2023-09-05 23:41:55.060357,/places/default/view/Liberia-125
Libya,Tripolis,Dinar,6461454,2023-09-05 23:41:55.118623,/places/default/view/Libya-126
